code NSF,code scolarité,sigle type formation,libellé type formation,libellé formation principal,sigle formation,durée,niveau de sortie indicatif,code RNCP,niveau de certification,libellé niveau de certification,tutelle,URL et ID Onisep,domaine/sous-domaine
133,,,formation d'école spécialisée,Diplôme de 2ème cycle supérieur de musique de l'École normale de musique de Paris Alfred Cortot,,2 ans,Bac + 5,,0,non inscrit au RNCP,Ministère de la Culture et de la communication,https://www.onisep.fr/http/redirection/formation/slug/FOR.2526,"arts, culture, artisanat/arts du spectacle"
200,17020013,,diplôme d'ingénieur,diplôme d'ingénieur de l'Institut supérieur de mécanique de Paris spécialité génie industriel en partenariat avec l'ITII Ile de France,SUPMECA,3 ans,Bac + 5,16153.0,1,niveau 7 (bac + 5),"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",https://www.onisep.fr/http/redirection/formation/slug/FOR.6092,"mécanique/aéronautique | mécanique/automatismes | électricité, électronique, robotique/électronique | matières premières, fabrication, industries/fonction production (généralités) | matières premières, fabrication, industries/génie industriel | informatique, Internet/informatique (généralités) | logistique, transport/logistique | matières premières, fabrication, industries/méthodes industrialisation"
200,,mastère spé.,mastère spécialisé,mastère spé. Manager LEAN : production et logistique (Arts et Métiers ParisTech),,1 an,Bac + 6,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.1105,"matières premières, fabrication, industries/fabrication, productique | matières premières, fabrication, industries/fonction production (généralités) | matières premières, fabrication, industries/génie industriel | logistique, transport/logistique | matières premières, fabrication, industries/méthodes industrialisation"
200,,mastère spé.,mastère spécialisé,mastère spé. Management industriel et excellence opérationnelle - MILEO (Mines ParisTech),,1 an,Bac + 6,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.4592,"arts, culture, artisanat/activités culturelles | matières premières, fabrication, industries/fonction production (généralités) | matières premières, fabrication, industries/génie industriel | matières premières, fabrication, industries/méthodes industrialisation"
200,,,diplôme d'ingénieur,Ingénieur diplômé de l'École polytechnique (Institut polytechnique de Paris),EPX,4 ans,Bac + 5,37189.0,1,niveau 7 (bac + 5),"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",https://www.onisep.fr/http/redirection/formation/slug/FOR.965,"gestion des entreprises, comptabilité/administration de l'entreprise | mécanique/aéronautique | informatique, Internet/bases de données | sciences/biologie | sciences/chimie | armée, sécurité/défense publique | environnement, énergies, propreté/énergies | environnement, énergies, propreté/environnement (généralités) | matières premières, fabrication, industries/fonction production (généralités) | matières premières, fabrication, industries/génie industriel | informatique, Internet/informatique (généralités) | matières premières, fabrication, industries/matériaux | sciences/mathématiques | mécanique/mécanique (généralités) | sciences/physique | économie, droit, politique/sciences économiques | informatique, Internet/systèmes et réseaux | logistique, transport/transport"
114,,,formation d'école spécialisée,Diplôme de premier cycle de l'université Paris-Dauphine mention mathématiques appliquées,,3 ans,Bac + 3,25266.0,2,niveau 6 (bac + 3),non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.7341,sciences/mathématiques
122,25512201,,formation d'école spécialisée,Diplôme de premier cycle de l'université Paris-Dauphine mention économie appliquée,,3 ans,Bac + 3,38371.0,2,niveau 6 (bac + 3),non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.7335,"économie, droit, politique/sciences économiques"
124,16N12401,,formation d'école spécialisée,Diplôme de psychologue de l'école de psychologues praticiens de l'institut catholique de Paris,,5 ans,Bac + 5,13953.0,1,niveau 7 (bac + 5),"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",https://www.onisep.fr/http/redirection/formation/slug/FOR.2805,"histoire-géographie, psychologie, sociologie/psychologie | santé, social, sport/santé (généralités)"
240,,,formation d'école spécialisée,Bachelor mode et architecture intérieure de la Paris American Academy,,3 ans,Bac + 3,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.3980,"arts, culture, artisanat/arts appliqués | arts, culture, artisanat/arts graphiques"
250,17025002,,diplôme d'ingénieur,diplôme d'ingénieur de l'Institut des sciences et techniques des Yvelines de l'université de Versailles Saint-Quentin en Yvelines spécialité mécatronique en partenariat avec Ingénieurs 2000,ISTY,3 ans,Bac + 5,34673.0,1,niveau 7 (bac + 5),"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",https://www.onisep.fr/http/redirection/formation/slug/FOR.5768,"mécanique/aéronautique | mécanique/automatismes | électricité, électronique, robotique/électronique | informatique, Internet/informatique (généralités) | mécanique/mécanique (généralités)"
