"code NSF";"code scolarité";"sigle type formation";"libellé type formation";"libellé formation principal";"sigle formation";durée;"niveau de sortie indicatif";"code RNCP";"niveau de certification";"libellé niveau de certification";tutelle;"URL et ID Onisep";domaine/sous-domaine
133;;;"formation d'école spécialisée";"Jouer et mettre en scène";;"2 ans";"Bac + 5";;1;"niveau 7 (bac + 5)";"non renseigné";https://www.onisep.fr/http/redirection/formation/slug/FOR.7423;"arts, culture, artisanat/arts du spectacle"
133;;DU;"diplôme d'université";"DU Atlantique Ballet contemporain";;"2 ans";"Bac + 2";;0;"non inscrit au RNCP";"non renseigné";https://www.onisep.fr/http/redirection/formation/slug/FOR.9424;"arts, culture, artisanat/arts du spectacle"
133;26013302;DNSP;"diplôme national supérieur professionnel";"Diplôme national supérieur professionnel de comédien";DNSP;"3 ans";"Bac + 3";38358;2;"niveau 6 (bac + 3)";"Ministère de la Culture et de la communication";https://www.onisep.fr/http/redirection/formation/slug/FOR.9580;"arts, culture, artisanat/arts du spectacle"
133;;;licence;"licence mention cinéma";;"3 ans";"Bac + 3";28815;2;"niveau 6 (bac + 3)";"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation";https://www.onisep.fr/http/redirection/formation/slug/FOR.5010;"information-communication, audiovisuel/audiovisuel"
133;;;"formation d'école spécialisée";"Bachelor maquilleur cinéma et effets spéciaux";;"3 ans";"Bac + 3";;0;"non inscrit au RNCP";"non renseigné";https://www.onisep.fr/http/redirection/formation/slug/FOR.4120;"information-communication, audiovisuel/audiovisuel | santé, social, sport/esthétique"
133;;;"formation d'école spécialisée";"Certificat d'aptitude aux fonctions de professeur d'art dramatique";;"1 an";"Bac + 5";;1;"niveau 7 (bac + 5)";"Ministère de la Culture et de la communication";https://www.onisep.fr/http/redirection/formation/slug/FOR.2298;"arts, culture, artisanat/arts du spectacle"
133;;;"formation d'école spécialisée";"Diplôme national d'orientation professionnelle de musique";DNOP;"3 ans";"Bac ou équivalent";;0;"non inscrit au RNCP";"Ministère de la Culture et de la communication";https://www.onisep.fr/http/redirection/formation/slug/FOR.2666;"arts, culture, artisanat/arts du spectacle"
133;;;"formation d'école spécialisée";"Classe d'art dramatique (bac + 2)";AD;"2 ans";"Bac + 2";;0;"non inscrit au RNCP";"Ministère de la Culture et de la communication";https://www.onisep.fr/http/redirection/formation/slug/FOR.525;"arts, culture, artisanat/arts du spectacle"
133;;;"formation d'école spécialisée";"Danse spécialité professionnelle artiste chorégraphique";;"3 ans";"Bac + 3";;0;"non inscrit au RNCP";"non renseigné";https://www.onisep.fr/http/redirection/formation/slug/FOR.5866;"arts, culture, artisanat/arts du spectacle"
133;;;"formation d'école spécialisée";"Diplôme de modeleur 3D";;"3 ans";"Bac + 3";;0;"non inscrit au RNCP";"non renseigné";https://www.onisep.fr/http/redirection/formation/slug/FOR.2188;"arts, culture, artisanat/arts graphiques"
133;;;"formation d'école spécialisée";"Certificat de chorégraphe-interprète";;"2 ans";"Bac + 2";;0;"non inscrit au RNCP";"non renseigné";https://www.onisep.fr/http/redirection/formation/slug/FOR.1896;"arts, culture, artisanat/arts du spectacle"
133;;;"formation d'école spécialisée";"Formation Comédie musicale danse, chant, jeu";;"3 ans";"Bac + 3";;0;"non inscrit au RNCP";"non renseigné";https://www.onisep.fr/http/redirection/formation/slug/FOR.3773;"arts, culture, artisanat/arts du spectacle"
133;42032305;;"formation d'école spécialisée";"Brevet artistique des techniques du cirque";;"2 ans";"Bac ou équivalent";23909;4;"niveau 4 (bac ou équivalent)";"non renseigné";https://www.onisep.fr/http/redirection/formation/slug/FOR.7474;"arts, culture, artisanat/arts du spectacle"
133;;;"formation d'école spécialisée";"Formation de chef de choeur";;"1 an";"autre formation";;0;"non inscrit au RNCP";"non renseigné";https://www.onisep.fr/http/redirection/formation/slug/FOR.1606;"arts, culture, artisanat/arts du spectacle"
133;;;"formation d'école spécialisée";"Diplôme de l'Ensatt parcours acteur";;"3 ans";"Bac + 3";;2;"niveau 6 (bac + 3)";"Ministère de la Culture et de la communication";https://www.onisep.fr/http/redirection/formation/slug/FOR.5336;"arts, culture, artisanat/arts du spectacle"
133;13513303;;master;"master mention théâtre";;"2 ans";"Bac + 5";34426;1;"niveau 7 (bac + 5)";"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation";https://www.onisep.fr/http/redirection/formation/slug/FOR.4922;"arts, culture, artisanat/arts du spectacle"
133;;;"formation d'école spécialisée";"Études professionnelles en danse";;"2 ans";"Bac + 1";;0;"non inscrit au RNCP";"non renseigné";https://www.onisep.fr/http/redirection/formation/slug/FOR.3036;"arts, culture, artisanat/arts du spectacle"
133;;;"formation d'école spécialisée";"Études supérieures en danse";;"2 ans";"Bac + 2";;0;"non inscrit au RNCP";"non renseigné";https://www.onisep.fr/http/redirection/formation/slug/FOR.3034;"arts, culture, artisanat/arts du spectacle"
133;36X13301;;"formation d'école spécialisée";"artiste de théâtre corporel";;"2 ans";"Bac + 2";35420;3;"niveau 5 (bac + 2)";"non renseigné";https://www.onisep.fr/http/redirection/formation/slug/FOR.8479;"arts, culture, artisanat/arts du spectacle"
133;;;"formation d'école spécialisée";"Diplôme de 2ème cycle supérieur de musique de l'École normale de musique de Paris Alfred Cortot";;"2 ans";"Bac + 5";;0;"non inscrit au RNCP";"Ministère de la Culture et de la communication";https://www.onisep.fr/http/redirection/formation/slug/FOR.2526;"arts, culture, artisanat/arts du spectacle"
133;;;"formation d'école spécialisée";"Graphiste - Motion Designer";;"3 ans";"Bac + 3";36307;2;"niveau 6 (bac + 3)";"non renseigné";https://www.onisep.fr/http/redirection/formation/slug/FOR.3126;"arts, culture, artisanat/arts graphiques"
133;20513302;;licence;"licence mention arts du spectacle";;"3 ans";"Bac + 3";24471;2;"niveau 6 (bac + 3)";"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation";https://www.onisep.fr/http/redirection/formation/slug/FOR.4672;"arts, culture, artisanat/arts du spectacle"
