geo_point_2d;geo_shape;nature_l;sigle;secteur;code_postal;commune;academie;denom;nom_lycee;dept
48.87693477030975, 2.5245952712770965;"{""coordinates"": [2.524595271277096, 48.87693477030975], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Public;93077;Villemomble;Créteil;LYCEE GENERAL ET TECHNOLOGIQUE;GEORGES-CLEMENCEAU;93
48.85750370015698, 2.3631629610031837;"{""coordinates"": [2.363162961003184, 48.85750370015698], ""type"": ""Point""}";Lycée d'enseignement général;LG;Public;75103;Paris 3e Arrondissement;Paris;LYCEE GENERAL;VICTOR-HUGO;75
48.88824378524283, 2.393445601004905;"{""coordinates"": [2.393445601004905, 48.88824378524283], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;75119;Paris 19e Arrondissement;Paris;LPO LYCEE DES METIERS;ALEMBERT (D');75
48.777025708444945, 1.9865014769465823;"{""coordinates"": [1.986501476946582, 48.777025708444945], ""type"": ""Point""}";Lycée professionnel;LP;Public;78621;Trappes;Versailles;LP LYCEE DES METIERS;LOUIS-BLÉRIOT;78
48.78030823010892, 1.995816399958622;"{""coordinates"": [1.995816399958622, 48.78030823010892], ""type"": ""Point""}";Lycée professionnel;LP;Public;78621;Trappes;Versailles;LP LYCEE DES METIERS;HENRI-MATISSE;78
49.006431276443394, 2.0871078386475244;"{""coordinates"": [2.087107838647524, 49.006431276443394], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;78172;Conflans-Sainte-Honorine;Versailles;LPO LYCEE DES METIERS;SIMONE-WEIL;78
48.93740058005401, 2.505228508659838;"{""coordinates"": [2.505228508659838, 48.93740058005401], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Public;93005;Aulnay-sous-Bois;Créteil;LYCEE GENERAL ET TECHNOLOGIQUE;JEAN-ZAY;93
48.87488388969367, 2.430721157256894;"{""coordinates"": [2.430721157256894, 48.87488388969367], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;93006;Bagnolet;Créteil;LPO LYCEE DES METIERS;EUGÈNE-HÉNAFF;93
48.994725905457685, 2.3836548517649323;"{""coordinates"": [2.383654851764932, 48.994725905457685], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;95585;Sarcelles;Versailles;LYCEE POLYVALENT;JEAN-JACQUES-ROUSSEAU;95
48.834983823859254, 2.4735928520868797;"{""coordinates"": [2.47359285208688, 48.834983823859254], ""type"": ""Point""}";Etablissement régional d'enseignement adapté;EREA;Public;94052;Nogent-sur-Marne;Créteil;ETAB.REGIONAL ENSEIGNT ADAPTE;FRANÇOIS-CAVANNA;94
48.73035009964743, 2.457271373102912;"{""coordinates"": [2.457271373102912, 48.73035009964743], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;94078;Villeneuve-Saint-Georges;Créteil;LYCEE POLYVALENT;FRANCOIS-ARAGO;94
48.89555357929212, 2.0992330228127165;"{""coordinates"": [2.099233022812717, 48.89555357929212], ""type"": ""Point""}";Lycée professionnel;LP;Privé;78551;Saint-Germain-en-Laye;Versailles;LYCEE PROFESSIONNEL PRIVE;SAINT-EREMBERT (PROFESSIONNEL);78
48.38502545656008, 2.815080479107562;"{""coordinates"": [2.815080479107562, 48.38502545656008], ""type"": ""Point""}";Ecole régionale du premier degré;ERPD;Public;77419;Saint-Mammès;Créteil;EC.REGIONALE DU PREMIER DEGRE;SAINT-MAMMES;77
48.552448139717235, 2.6590799630230744;"{""coordinates"": [2.659079963023074, 48.552448139717235], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;77288;Melun;Créteil;LPO LYCEE DES METIERS;LÉONARD-DE-VINCI;77
48.80002994363372, 2.644563937913128;"{""coordinates"": [2.644563937913128, 48.80002994363372], ""type"": ""Point""}";Lycée professionnel;LP;Privé;77390;Roissy-en-Brie;Créteil;LYCEE PROFESSIONNEL PRIVE;LES-SINOPLIES;77
48.97677896783303, 2.3453182398444703;"{""coordinates"": [2.34531823984447, 48.97677896783303], ""type"": ""Point""}";Lycée d'enseignement général;LG;Privé;95427;Montmagny;Versailles;LYCEE GENERAL PRIVE;R.E.V.E.;95
48.8655502432725, 2.2794422976469213;"{""coordinates"": [2.279442297646921, 48.8655502432725], ""type"": ""Point""}";Lycée d'enseignement général;LG;Public;75116;Paris 16e Arrondissement;Paris;LYCEE GENERAL;JANSON-DE-SAILLY;75
48.895238995624396, 2.3152702151489093;"{""coordinates"": [2.315270215148909, 48.895238995624396], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Public;75117;Paris 17e Arrondissement;Paris;LYCEE GENERAL ET TECHNOLOGIQUE;HONORÉ-DE-BALZAC;75
48.84827663958543, 2.2868586103003414;"{""coordinates"": [2.286858610300341, 48.84827663958543], ""type"": ""Point""}";Lycée professionnel;LP;Public;75115;Paris 15e Arrondissement;Paris;LP LYCEE DES METIERS;BEAUGRENELLE;75
48.81081423388661, 2.2831562997306003;"{""coordinates"": [2.2831562997306, 48.81081423388661], ""type"": ""Point""}";Lycée professionnel;LP;Public;92046;Malakoff;Versailles;LYCEE PROFESSIONNEL;LOUIS-GIRARD;92
48.90723143227216, 2.2846525162792983;"{""coordinates"": [2.284652516279298, 48.90723143227216], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Privé;92004;Asnières-sur-Seine;Versailles;LYCEE GEN.ET TECHNOL.PRIVE;SAINTE-GENEVIÈVE;92
48.85029893172859, 2.4313481433812627;"{""coordinates"": [2.431348143381263, 48.85029893172859], ""type"": ""Point""}";Lycée professionnel;LP;Privé;94080;Vincennes;Créteil;LYCEE PROF PRIVE DES METIERS;CLAUDE-NICOLAS LEDOUX (EBTP);94
48.87822228070883, 2.3836988143552853;"{""coordinates"": [2.383698814355285, 48.87822228070883], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Privé;75119;Paris 19e Arrondissement;Paris;LYCEE GEN.ET TECHNOL.PRIVE;COURS-DES-PETITS-CHAMPS;75
48.88747486316958, 2.145763039025884;"{""coordinates"": [2.145763039025884, 48.88747486316958], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Privé;78650;Le Vésinet;Versailles;LYCEE GEN.ET TECHNOL.PRIVE;LE-BON-SAUVEUR;78
48.87743156406336, 2.2226698266396108;"{""coordinates"": [2.222669826639611, 48.87743156406336], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Public;92073;Suresnes;Versailles;LYCEE GENERAL ET TECHNOLOGIQUE;PAUL-LANGEVIN;92
48.80671244056455, 2.2467915097614433;"{""coordinates"": [2.246791509761443, 48.80671244056455], ""type"": ""Point""}";Lycée professionnel;LP;Privé;92048;Meudon;Versailles;LYCEE PROFESSIONNEL PRIVE;SAINT-PHILIPPE (APPRENTIS AUTEUIL);92
48.71936881894824, 2.234733009826132;"{""coordinates"": [2.234733009826132, 48.71936881894824], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Public;91477;Palaiseau;Versailles;LYCEE GENERAL ET TECHNOLOGIQUE;CAMILLE-CLAUDEL;91
48.90625831906582, 2.4914813217865146;"{""coordinates"": [2.491481321786515, 48.90625831906582], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;93010;Bondy;Créteil;LYCEE POLYVALENT;LEO-LAGRANGE;93
48.84080242852793, 2.356231527956144;"{""coordinates"": [2.356231527956144, 48.84080242852793], ""type"": ""Point""}";Lycée d'enseignement général;LG;Privé;75105;Paris 5e Arrondissement;Paris;LYCEE GENERAL PRIVE;LOUISE-DE-MARILLAC;75
48.91165424791199, 2.3866497314010013;"{""coordinates"": [2.386649731401001, 48.91165424791199], ""type"": ""Point""}";Lycée d'enseignement général;LG;Privé;93001;Aubervilliers;Créteil;LYCEE GENERAL PRIVE;CHNÉ-OR;93
48.88074815131309, 2.3037395015257145;"{""coordinates"": [2.303739501525714, 48.88074815131309], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;75117;Paris 17e Arrondissement;Paris;LPO LYCEE DES METIERS;JEAN-DROUANT;75
48.542186974561595, 2.655399513843398;"{""coordinates"": [2.655399513843398, 48.542186974561595], ""type"": ""Point""}";Lycée polyvalent;LPO;Privé;77288;Melun;Créteil;LYCEE POLYVALENT PRIVE;INSTITUTION-SAINT-ASPAIS;77
48.80228441901268, 1.7821597201330373;"{""coordinates"": [1.782159720133037, 48.80228441901268], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;78513;La Queue-les-Yvelines;Versailles;LPO LYCEE DES METIERS;JEAN-MONNET;78
48.878498556580794, 2.3178941799426567;"{""coordinates"": [2.317894179942657, 48.878498556580794], ""type"": ""Point""}";Lycée d'enseignement général;LG;Privé;75108;Paris 8e Arrondissement;Paris;LYCEE GENERAL PRIVE;FÉNELON-SAINTE-MARIE-LA-PLAINE-MONCEAU;75
48.810176422446986, 2.149751373772679;"{""coordinates"": [2.149751373772679, 48.810176422446986], ""type"": ""Point""}";Lycée professionnel;LP;Public;78646;Versailles;Versailles;LYCEE PROFESSIONNEL;JACQUES-PRÉVERT;78
48.876676231524605, 2.405191459081705;"{""coordinates"": [2.405191459081705, 48.876676231524605], ""type"": ""Point""}";Etablissement régional d'enseignement adapté;EREA;Public;75120;Paris 20e Arrondissement;Paris;ETAB.REGIONAL ENSEIGNT ADAPTE;EDITH-PIAF;75
48.83002083660023, 2.465411063724442;"{""coordinates"": [2.465411063724442, 48.83002083660023], ""type"": ""Point""}";Lycée professionnel;LP;Public;94052;Nogent-sur-Marne;Créteil;LP LYCEE DES METIERS;LA-SOURCE;94
48.80228095380592, 2.3507122367654234;"{""coordinates"": [2.350712236765423, 48.80228095380592], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;94043;Le Kremlin-Bicêtre;Créteil;LYCEE POLYVALENT;DARIUS-MILHAUD;94
48.76724870268804, 2.4034329480464716;"{""coordinates"": [2.403432948046472, 48.76724870268804], ""type"": ""Point""}";Lycée professionnel;LP;Privé;94073;Thiais;Créteil;LYCEE PROFESSIONNEL PRIVE;CLAUDE-FRANÇOIS-POULLART-DES-PLACES;94
48.793790455033, 2.3839788887497733;"{""coordinates"": [2.383978888749773, 48.793790455033], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Privé;94081;Vitry-sur-Seine;Créteil;LYCEE GENERAL ET TECHNO PRIVE;EPIN;94
48.87777719794579, 2.23528117525223;"{""coordinates"": [2.23528117525223, 48.87777719794579], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Public;92062;Puteaux;Versailles;LYCEE GENERAL ET TECHNOLOGIQUE;AGORA (L');92
48.84866465357169, 2.2141334445954177;"{""coordinates"": [2.214133444595418, 48.84866465357169], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Public;92064;Saint-Cloud;Versailles;LYCEE GENERAL ET TECHNOLOGIQUE;ALEXANDRE-DUMAS;92
48.90506586852368, 2.394769292919959;"{""coordinates"": [2.394769292919959, 48.90506586852368], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Public;93055;Pantin;Créteil;LYCEE GENERAL ET TECHNOLOGIQUE;MARCELIN-BERTHELOT;93
48.8449764093096, 2.5389338989234007;"{""coordinates"": [2.538933898923401, 48.8449764093096], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;93051;Noisy-le-Grand;Créteil;LPO LYCEE DES METIERS;EVARISTE-GALOIS;93
48.80106438705779, 2.137439326016222;"{""coordinates"": [2.137439326016222, 48.80106438705779], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Public;78646;Versailles;Versailles;LYCEE GENERAL ET TECHNOLOGIQUE;LA-BRUYÈRE;78
48.830082575576746, 1.9932037707896402;"{""coordinates"": [1.99320377078964, 48.830082575576746], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;78674;Villepreux;Versailles;LYCEE POLYVALENT;SONIA-DELAUNAY;78
