n°UAI de l'établissement;Libellé de l'établissement;Région;Niveau de formation;;Taux de poursuite d'études;Taux d'emploi 6 mois après la sortie
0750330B;Lycée technologique privé Ecole Technique Supérieure du Laboratoire;ILE-DE-FRANCE;BTS;32;37;54
0750419Y;Lycée professionnel Mécanique automobile Camille Jenatzy;ILE-DE-FRANCE;BAC;29;45;33
0750419Y;Lycée professionnel Mécanique automobile Camille Jenatzy;ILE-DE-FRANCE;CAP;51;70;27
0750428H;Lycée polyvalent Jacques MONOD - Lycée des métiers des carrières sanitaires et sociales;ILE-DE-FRANCE;BAC;19;60;38
0750428H;Lycée polyvalent Jacques MONOD - Lycée des métiers des carrières sanitaires et sociales;ILE-DE-FRANCE;BTS;20;;
0750428H;Lycée polyvalent Jacques MONOD - Lycée des métiers des carrières sanitaires et sociales;ILE-DE-FRANCE;CAP;;39;17
0750436S;Lycée professionnel Claude Anthime Corbon - Lycée des métiers de la communication et de la gestion d'entreprise;ILE-DE-FRANCE;BAC;21;54;28
0750436S;Lycée professionnel Claude Anthime Corbon - Lycée des métiers de la communication et de la gestion d'entreprise;ILE-DE-FRANCE;CAP;40;81;
0750463W;Lycée polyvalent Lucas de Nehou - Lycée des métiers des arts du verre et des structures verrières;ILE-DE-FRANCE;BAC;21;;
0750463W;Lycée polyvalent Lucas de Nehou - Lycée des métiers des arts du verre et des structures verrières;ILE-DE-FRANCE;BP;;14;
0750463W;Lycée polyvalent Lucas de Nehou - Lycée des métiers des arts du verre et des structures verrières;ILE-DE-FRANCE;BTS;52;62;
0750463W;Lycée polyvalent Lucas de Nehou - Lycée des métiers des arts du verre et des structures verrières;ILE-DE-FRANCE;CAP;26;55;43
0750502N;Lycée polyvalent Maximilien Vox-arts appliqués - design de communication - industries graphiques;ILE-DE-FRANCE;BAC;55;59;20
0750508V;Lycée professionnel Charles de Gaulle;ILE-DE-FRANCE;BAC;21;49;34
0750508V;Lycée professionnel Charles de Gaulle;ILE-DE-FRANCE;MC4;34;34;
0750553U;Lycée professionel Gaston Bachelard;ILE-DE-FRANCE;BAC;62;53;48
