"libellé métier";"lien site onisep.fr";"nom publication";collection;année;gencod;GFE;"code ROME";"libellé ROME";"lien ROME";domaine/sous-domaine
accessoiriste;https://www.onisep.fr/http/redirection/metier/slug/MET.69;;"pas de publication Onisep spécifique";;;"GFE V : arts, spectacle, audiovisuel";L1503;"Décor et accessoires spectacle";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=L1503;"arts, culture, artisanat/arts du spectacle| matières premières, fabrication, industries/textile, habillement"
"accompagnateur / accompagnatrice de tourisme équestre";https://www.onisep.fr/http/redirection/metier/slug/MET.785;"Les métiers du sport";Parcours;2021;9782273015875;"GFE S : hôtellerie,  tourisme, loisirs";G1201;"Accompagnement de voyages, d'activités culturelles ou sportives";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=G1201;"santé, social, sport/sport| hôtellerie-restauration, tourisme/tourisme"
"acheteur / acheteuse";https://www.onisep.fr/http/redirection/metier/slug/MET.571;"Les métiers du commerce, du marketing et de la publicité";Parcours;2021;9782273015936;"GFE Q : commerce, gestion, finances";M1101;Achat;https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=M1101;"commerce, marketing, vente/achat, approvisionnement| commerce, marketing, vente/grande distribution et petits commerces"
"acheteur / acheteuse";https://www.onisep.fr/http/redirection/metier/slug/MET.571;"Les métiers de l'automobile";Parcours;2020;9782273015172;"GFE Q : commerce, gestion, finances";M1101;Achat;https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=M1101;"commerce, marketing, vente/achat, approvisionnement| commerce, marketing, vente/grande distribution et petits commerces"
"acheteur / acheteuse";https://www.onisep.fr/http/redirection/metier/slug/MET.571;"Les métiers de l'agroalimentaire";Parcours;2019;9782273014557;"GFE Q : commerce, gestion, finances";M1101;Achat;https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=M1101;"commerce, marketing, vente/achat, approvisionnement| commerce, marketing, vente/grande distribution et petits commerces"
actuaire;https://www.onisep.fr/http/redirection/metier/slug/MET.861;"Mathématiques, statistiques et informatique";"Zoom sur les métiers";2021;9782273015547;"GFE Q : commerce, gestion, finances";C1105;"Études actuarielles en assurances";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=C1105;"banque, assurances, immobilier/assurances| sciences/mathématiques"
"administrateur / administratrice de base de données";https://www.onisep.fr/http/redirection/metier/slug/MET.14;"Les métiers de l'informatique";Parcours;2022;9782273016155;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";M1801;"Administration de systèmes d'information";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=M1801;"informatique, Internet/bases de données| informatique, Internet/informatique (généralités)"
"administrateur / administratrice de logiciels de laboratoire";https://www.onisep.fr/http/redirection/metier/slug/MET.717;"Les métiers de l'informatique";Parcours;2022;9782273016155;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";M1810;"Production et exploitation de systèmes d'information";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=M1810;"informatique, Internet/informatique (généralités)| informatique, Internet/systèmes et réseaux"
"administrateur / administratrice de spectacle";https://www.onisep.fr/http/redirection/metier/slug/MET.469;"Les métiers de la culture et du patrimoine";Parcours;2022;9782273016131;"GFE V : arts, spectacle, audiovisuel";L1302;"Production et administration spectacle, cinéma et audiovisuel";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=L1302;"gestion des entreprises, comptabilité/administration de l'entreprise| arts, culture, artisanat/arts du spectacle"
"administrateur territorial / administratrice territoriale";https://www.onisep.fr/http/redirection/metier/slug/MET.122;;"pas de publication Onisep spécifique";;;"GFE Q : commerce, gestion, finances";;;;"économie, droit, politique/droit public| économie, droit, politique/sciences économiques"
"agent / agente arboricole";https://www.onisep.fr/http/redirection/metier/slug/MET.793;"Les métiers de l'agriculture et de la forêt";Parcours;2020;9782273015219;"GFE A : agriculture";A1405;"Arboriculture et viticulture";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1405;"agriculture, animaux/agriculture (généralités)| agriculture, animaux/cultures"
"agent / agente d'exploitation de l'eau";https://www.onisep.fr/http/redirection/metier/slug/MET.509;"Les métiers de l'environnement et du développement durable";Parcours;2020;9782273015042;"GFE T : environnement, nettoyage, sécurité";K2301;"Distribution et assainissement d'eau";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=K2301;"environnement, énergies, propreté/gestion de l'eau"
"agent / agente de développement des énergies renouvelables";https://www.onisep.fr/http/redirection/metier/slug/MET.893;"Les métiers de l'énergie";Parcours;2022;9782273015998;"GFE H : électricité, énergie, électronique";;;;"environnement, énergies, propreté/énergies| environnement, énergies, propreté/environnement (généralités)| construction, architecture, travaux publics/équipement technique"
"agent / agente de développement local";https://www.onisep.fr/http/redirection/metier/slug/MET.922;"Les métiers du social";Parcours;2019;9782273014571;"GFE T : environnement, nettoyage, sécurité";K1802;"Développement local";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=K1802;"environnement, énergies, propreté/aménagement du territoire| santé, social, sport/travail social"
"agent / agente de propreté urbaine";https://www.onisep.fr/http/redirection/metier/slug/MET.588;"Les métiers des grands événements culturels et sportifs";"Zoom sur les métiers";2023;9782273016742;"GFE T : environnement, nettoyage, sécurité";K2303;"Nettoyage des espaces urbains";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=K2303;"environnement, énergies, propreté/déchets, pollutions et risques| environnement, énergies, propreté/propreté"
