annee_universitaire;niveau_geographique;geo_nom;regroupement;rgp_formations_ou_etablissements;secteur;secteur_de_l_etablissement;sexe;sexe_de_l_etudiant;effectif;effectifhdccpge;a_des_effectifs_dut;effectif_dut;a_des_effectifs_ing;effectif_ing;a_des_effectifs_form_ens;effectif_form_ens;diffusable;donnees_diffusables;secret;donnees_soumises_au_secret_stat;niveau_geo;geo_id;reg_id;aca_id;dep_id;uucr_id;rentree;annee;paysage_id;wikidata_id
2021-22;Département;Essonne;EC_COM;Ecoles de commerce, gestion et comptabilité;PR;Établissements privés;2;Feminin;25.0;25.0;non;;non;;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D091;R11;A25;D091;;2021;2022;xaq2c;Q3368
2022-23;Département;Essonne;UNIV;Universités;PU;Établissements publics;1;Masculin;21589.0;20369.0;oui;1365.0;oui;3390.0;oui;283.0;oui;Données diffusables;non;Autres données;DEPARTEMENT;D091;R11;A25;D091;;2022;2023;xaq2c;Q3368
2022-23;Département;Essonne;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;2004.0;2004.0;non;;non;;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D091;R11;A25;D091;;2022;2023;xaq2c;Q3368
2022-23;Département;Essonne;EC_PARAM;Écoles paramédicales et sociales;PR;Établissements privés;1;Masculin;96.0;96.0;non;;non;;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D091;R11;A25;D091;;2022;2023;xaq2c;Q3368
2022-23;Département;Essonne;EC_PARAM;Écoles paramédicales et sociales;PU;Établissements publics;2;Feminin;1284.0;1284.0;non;;non;;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D091;R11;A25;D091;;2022;2023;xaq2c;Q3368
2022-23;Département;Essonne;EC_COM;Ecoles de commerce, gestion et comptabilité;PU;Établissements publics;2;Feminin;;;non;;non;;non;;non;Données non diffusables;oui;Données soumises au secret statistique;DEPARTEMENT;D091;R11;A25;D091;;2022;2023;xaq2c;Q3368
2022-23;Département;Essonne;EC_ART;Écoles supérieures art et culture;PU;Établissements publics;1;Masculin;3.0;3.0;non;;non;;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D091;R11;A25;D091;;2022;2023;xaq2c;Q3368
2022-23;Département;Essonne;EC_ART;Écoles supérieures art et culture;PU;Établissements publics;2;Feminin;14.0;14.0;non;;non;;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D091;R11;A25;D091;;2022;2023;xaq2c;Q3368
2022-23;Département;Essonne;CPGE;Classes préparatoires aux grandes écoles (CPGE);PR;Établissements privés;2;Feminin;13.0;13.0;non;;non;;non;;oui;Données diffusables;non;Autres données;DEPARTEMENT;D091;R11;A25;D091;;2022;2023;xaq2c;Q3368
2022-23;Département;Hauts-de-Seine;EC_autres;Autres écoles de spécialités diverses;PU;Établissements publics;1;Masculin;;;non;;non;;non;;non;Données non diffusables;oui;Données soumises au secret statistique;DEPARTEMENT;D092;R11;A25;D092;;2022;2023;52f6j;Q12543
