Identifiant action de formation;Enseignements de spécialité de classe de 1ère générale;Identifiant et fiche onisep lieu de cours;Libellé lieu de cours;Adresse lieu de cours;Code postal lieu de cours;Commune lieu de cours;Département lieu de cours;Région lieu de cours;Académie lieu de cours
AF.12037;Sciences économiques et sociales / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Physique-chimie / Sciences de la vie et de la Terre / LLCER anglais;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14500;Lycée François Rabelais;9 rue Francis de Croisset;75018;Paris;Paris;Ile-de-France;Paris
AF.12085;Sciences économiques et sociales / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / LLCER anglais / Mathématiques / Physique-chimie / Sciences de la vie et de la Terre;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15375;Lycée Notre-Dame de la Providence;41 rue de Fontenay;94300;Vincennes;Val-de-Marne;Ile-de-France;Créteil
AF.12127;Sciences économiques et sociales / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / LLCER anglais / Mathématiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1430;Lycée privé Campus Sainte-Thérèse;Avenue Erasme - Rond point de l'Europe, Rond point de l'Europe;77330;Ozoir-la-Ferrière;Seine-et-Marne;Ile-de-France;Créteil
AF.12184;Sciences économiques et sociales / Humanités, littérature et philosophie / Sciences de l'ingénieur / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Littérature et langues et cultures de l'Antiquité / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9831;Lycée Louis Jouvet;26 rue de Saint-Prix;95150;Taverny;Val-d'Oise;Ile-de-France;Versailles
AF.12227;Sciences économiques et sociales / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Physique-chimie / Sciences de la vie et de la Terre;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10040;Lycée général privé Alliance;35 allée Robert Estienne;93320;Les Pavillons-sous-Bois;Seine-Saint-Denis;Ile-de-France;Créteil
AF.12241;Sciences économiques et sociales / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Littérature et langues et cultures de l'Antiquité / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3664;Cours Clapeyron;64 bis rue Taitbout;75009;Paris;Paris;Ile-de-France;Paris
AF.12293;Sciences économiques et sociales / Arts : histoire des arts / LLCER espagnol / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / LLCER anglais / Mathématiques / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales / LLCER anglais - monde contemporain;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5743;Lycée Marie Curie;70 avenue de Paris;78000;Versailles;Yvelines;Ile-de-France;Versailles
AF.12320;Sciences économiques et sociales / Histoire-géographie, géopolitique et sciences politiques / LLCER anglais / Mathématiques / Physique-chimie / Sciences de la vie et de la Terre / Humanités, littérature et philosophie;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8447;Lycée privé Sainte-Jeanne Elisabeth;8 rue Maurice de la Sizeranne;75007;Paris;Paris;Ile-de-France;Paris
AF.12327;Sciences économiques et sociales / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Littérature et langues et cultures de l'Antiquité / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4407;Lycée général privé Blanche de Castille;1 place Charles de Gaulle;93250;Villemomble;Seine-Saint-Denis;Ile-de-France;Créteil
AF.17383;Sciences économiques et sociales / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2168;Lycée Jeanne d'Arc;11 boulevard Henri IV;91150;Etampes;Essonne;Ile-de-France;Versailles
